vendor_id,person_id,person_name,role,appointed_on
V-0001,P-0001,P. Desai,Director,2020-11-30
V-0001,P-0002,R. Gowda,Partner,2020-04-08
V-0002,P-0003,D. Pillai,Director,2020-07-23
V-0003,P-0004,A. Chauhan,Director,2026-05-06
V-0003,P-0005,K. Joshi,Director,2025-09-20
V-0003,P-0006,H. Naik,Partner,2018-12-28
V-0004,P-0007,S. Chauhan,Director,2024-04-20
V-0005,P-0008,M. Bhat,Director,2019-09-13
V-0005,P-0009,N. Kamath,Director,2025-04-23
V-0005,P-0010,H. Shetty,Authorised Signatory,2023-10-04
V-0006,P-0011,S. Sharma,Director,2021-11-28
V-0007,P-0012,P. Rao,Director,2026-04-24
V-0008,P-0013,M. Kamath,Director,2026-04-08
V-0009,P-0014,V. Chauhan,Director,2024-08-23
V-0010,P-0015,B. Sharma,Director,2025-08-05
V-0010,P-0016,B. Iyer,Partner,2025-06-27
V-0011,P-0017,P. Patil,Director,2026-03-24
V-0012,P-0018,K. Naik,Director,2014-03-29
V-0012,P-0019,S. Mehta,Partner,2025-12-10
V-0013,P-0020,R. Nair,Director,2022-09-29
V-0013,P-0021,N. Kamath,Authorised Signatory,2007-09-27
V-0013,P-0022,S. Kamath,Director,2007-07-14
V-0014,P-0023,H. Sahoo,Director,2017-11-12
V-0015,P-0024,K. Kamath,Director,2021-02-10
V-0016,P-0025,B. Sharma,Director,2020-05-10
V-0017,P-0026,T. Nair,Director,2018-05-08
V-0017,P-0027,R. Reddy,Director,2011-07-11
V-0018,P-0028,V. Patil,Director,2014-12-24
V-0018,P-0029,G. Reddy,Director,2024-05-22
V-0018,P-0030,M. Nair,Director,2015-04-01
V-0019,P-0031,V. Mishra,Director,2026-05-19
V-0019,P-0032,K. Patil,Partner,2026-06-26
V-0020,P-0033,K. Rao,Director,2017-03-20
V-0021,P-0034,B. Pillai,Director,2024-03-07
V-0022,P-0035,A. Shetty,Director,2019-10-05
V-0022,P-0036,V. Mishra,Partner,2016-08-21
V-0023,P-0037,V. Chauhan,Director,2021-07-20
V-0024,P-0038,T. Kulkarni,Director,2015-04-23
V-0025,P-0039,T. Nair,Director,2013-03-08
V-0026,P-0040,S. Sahoo,Director,2013-10-24
V-0027,P-0041,N. Menon,Director,2022-08-08
V-0027,P-0042,A. Reddy,Authorised Signatory,2020-02-11
V-0027,P-0043,B. Gowda,Authorised Signatory,2020-07-04
V-0028,P-0044,V. Sahoo,Director,2025-04-14
V-0029,P-0045,S. Desai,Director,2026-04-13
V-0029,P-0046,B. Patil,Director,2015-10-16
V-0030,P-0047,D. Rao,Director,2013-01-03
V-0031,P-0048,T. Bhat,Director,2022-03-31
V-0031,P-0049,M. Reddy,Authorised Signatory,2024-09-07
V-0032,P-0050,R. Chauhan,Director,2024-12-06
V-0032,P-0051,G. Gowda,Partner,2025-09-30
V-0032,P-0052,T. Joshi,Partner,2021-03-16
V-0033,P-0053,R. Pillai,Director,2025-09-17
V-0034,P-0054,N. Desai,Director,2013-06-09
V-0035,P-0055,M. Reddy,Director,2016-05-27
V-0036,P-0056,M. Bhat,Director,2025-06-09
V-0036,P-0057,A. Patil,Partner,2023-02-21
V-0036,P-0058,P. Joshi,Authorised Signatory,2020-08-06
V-0037,P-0059,D. Pillai,Director,2019-03-17
V-0038,P-0060,V. Reddy,Director,2019-10-13
V-0039,P-0061,N. Kamath,Director,2010-09-10
V-0039,P-0062,M. Iyer,Authorised Signatory,2025-12-31
V-0040,P-0063,A. Gowda,Director,2018-12-23
V-0041,P-0064,A. Chauhan,Director,2021-10-18
V-0042,P-0065,G. Sharma,Director,2010-02-23
V-0043,P-0066,S. Nair,Director,2020-06-01
V-0043,P-0067,P. Patil,Authorised Signatory,2018-03-17
V-0044,P-0068,V. Patil,Director,2013-04-11
V-0044,P-0069,V. Bhat,Director,2013-09-17
V-0044,P-0070,K. Reddy,Authorised Signatory,2024-12-02
V-0045,P-0071,G. Kulkarni,Director,2020-03-15
V-0045,P-0072,A. Sahoo,Partner,2023-07-12
V-0046,P-0073,A. Chauhan,Director,2022-04-26
V-0046,P-0074,R. Sharma,Director,2021-09-13
V-0046,P-0075,S. Nair,Partner,2024-06-17
V-0047,P-0076,G. Joshi,Director,2024-02-14
V-0048,P-0077,G. Kamath,Director,2011-09-15
V-0049,P-0078,V. Kamath,Director,2026-02-04
V-0049,P-0079,B. Naik,Partner,2020-12-09
V-0050,P-0080,D. Sahoo,Director,2026-04-01
V-0050,P-0081,D. Iyer,Director,2026-05-22
V-0051,P-0082,P. Reddy,Director,2025-09-05
V-0051,P-0083,T. Reddy,Partner,2026-06-15
V-0051,P-0084,N. Sahoo,Authorised Signatory,2025-02-01
V-0052,P-0085,K. Sharma,Director,2021-03-23
V-0052,P-0086,T. Shetty,Authorised Signatory,2019-07-07
V-0052,P-0087,H. Mehta,Director,2013-02-22
V-0053,P-0088,N. Desai,Director,2019-05-08
V-0054,P-0089,S. Reddy,Director,2023-10-26
V-0054,P-0090,K. Bhat,Authorised Signatory,2022-06-27
V-0055,P-0091,A. Chauhan,Director,2018-10-12
V-0056,P-0092,A. Rao,Director,2009-12-09
V-0056,P-0093,V. Kulkarni,Director,2014-01-09
V-0057,P-0094,S. Mishra,Director,2016-05-02
V-0057,P-0095,M. Menon,Director,2013-10-30
V-0058,P-0096,T. Desai,Director,2023-03-21
V-0058,P-0097,D. Menon,Partner,2022-06-07
V-0059,P-0098,K. Pillai,Director,2024-09-11
V-0059,P-0099,K. Rao,Authorised Signatory,2025-01-19
V-0060,P-0100,T. Menon,Director,2012-04-02
V-0061,P-0101,S. Reddy,Director,2019-04-23
V-0062,P-0102,B. Reddy,Director,2016-12-29
V-0062,P-0103,N. Shetty,Partner,2012-02-29
V-0063,P-0104,M. Gowda,Director,2025-01-16
V-0063,P-0105,A. Bhat,Authorised Signatory,2016-05-06
V-0064,P-0106,B. Sahoo,Director,2024-07-08
V-0064,P-0107,K. Pillai,Authorised Signatory,2023-03-28
V-0064,P-0108,R. Desai,Director,2022-01-12
V-0065,P-0109,R. Menon,Director,2026-03-28
V-0065,P-0110,K. Mehta,Authorised Signatory,2024-05-17
V-0066,P-0111,T. Reddy,Director,2022-02-27
V-0067,P-0112,K. Iyer,Director,2025-10-31
V-0068,P-0113,V. Gowda,Director,2026-05-08
V-0068,P-0114,B. Sharma,Director,2016-09-02
V-0069,P-0115,B. Patil,Director,2021-12-28
V-0070,P-0116,G. Sharma,Director,2012-06-29
V-0071,P-0117,R. Nair,Director,2020-01-12
V-0072,P-0118,H. Bhat,Director,2015-03-29
V-0073,P-0119,V. Sahoo,Director,2022-09-21
V-0074,P-0120,M. Bhat,Director,2024-02-07
V-0074,P-0121,P. Sharma,Authorised Signatory,2016-04-21
V-0075,P-0122,G. Shetty,Director,2023-02-27
V-0075,P-0123,R. Sharma,Authorised Signatory,2024-02-12
V-0076,P-0124,T. Patil,Director,2018-04-26
V-0076,P-0125,T. Gowda,Partner,2023-12-25
V-0077,P-0126,H. Nair,Director,2014-08-02
V-0078,P-0127,M. Pillai,Director,2023-05-30
V-0078,P-0128,B. Desai,Authorised Signatory,2017-02-05
V-0079,P-0129,S. Shetty,Director,2025-12-21
V-0079,P-0130,A. Chauhan,Director,2020-11-07
V-0080,P-0131,K. Nair,Director,2011-09-02
V-0080,P-0132,A. Bhat,Authorised Signatory,2026-04-12
V-0081,P-0133,V. Mishra,Director,2023-03-22
V-0082,P-0134,M. Pillai,Director,2018-04-04
V-0083,P-0135,R. Rao,Director,2024-03-08
V-0084,P-0136,H. Mehta,Director,2020-06-18
V-0085,P-0137,V. Patil,Director,2026-01-09
V-0085,P-0138,G. Kamath,Director,2026-08-08
V-0086,P-0139,R. Chauhan,Director,2022-12-15
V-0087,P-0140,P. Patil,Director,2011-08-03
V-0088,P-0141,A. Shetty,Director,2016-11-12
V-0088,P-0142,R. Reddy,Director,2008-05-24
V-0089,P-0143,A. Patil,Director,2023-09-17
V-0089,P-0144,P. Menon,Partner,2017-01-02
V-0090,P-0145,G. Naik,Director,2026-06-07
V-0090,P-0146,K. Kulkarni,Partner,2023-07-23
V-0090,P-0147,A. Naik,Director,2023-02-08
V-0091,P-0148,B. Pillai,Director,2008-01-23
V-0091,P-0149,V. Nair,Director,2021-06-05
V-0091,P-0150,B. Sahoo,Director,2019-02-17
V-0092,P-0151,H. Pillai,Director,2020-06-11
V-0093,P-0152,H. Chauhan,Director,2025-04-23
V-0093,P-0153,M. Desai,Director,2025-12-15
V-0094,P-0154,K. Nair,Director,2025-02-20
V-0094,P-0155,R. Menon,Authorised Signatory,2024-08-30
V-0094,P-0156,R. Pillai,Partner,2026-04-03
V-0095,P-0157,D. Patil,Director,2020-11-13
V-0096,P-0158,R. Mehta,Director,2024-05-10
V-0096,P-0159,D. Joshi,Director,2016-11-25
V-0097,P-0160,R. Rao,Director,2023-06-11
V-0098,P-0161,R. Rao,Director,2020-03-04
V-0099,P-0162,D. Desai,Director,2021-08-27
V-0099,P-0163,H. Chauhan,Authorised Signatory,2023-05-15
V-0099,P-0164,H. Naik,Authorised Signatory,2022-03-24
V-0100,P-0165,M. Reddy,Director,2011-07-24
V-0100,P-0166,A. Sharma,Authorised Signatory,2015-12-01
V-0101,P-0167,T. Joshi,Director,2022-12-28
V-0101,P-0168,A. Sharma,Director,2022-07-09
V-0101,P-0169,A. Nair,Director,2024-11-03
V-0102,P-0170,P. Menon,Director,2020-03-13
V-0103,P-0171,M. Pillai,Director,2021-10-28
V-0103,P-0172,V. Mishra,Director,2025-03-26
V-0104,P-0173,S. Sharma,Director,2026-06-09
V-0105,P-0174,H. Iyer,Director,2018-12-15
V-0106,P-0175,D. Shetty,Director,2024-05-09
V-0107,P-0176,N. Kamath,Director,2021-06-21
V-0107,P-0177,N. Joshi,Director,2019-06-26
V-0107,P-0178,H. Reddy,Partner,2020-01-09
V-0108,P-0179,K. Kamath,Director,2019-01-23
V-0108,P-0180,P. Kamath,Director,2010-07-24
V-0109,P-0181,R. Shetty,Director,2017-05-17
V-0110,P-0182,N. Iyer,Director,2024-02-28
V-0110,P-0183,G. Pillai,Director,2024-06-28
V-0110,P-0184,B. Mishra,Partner,2024-12-14
V-0111,P-0185,T. Pillai,Director,2013-05-27
V-0112,P-0186,T. Joshi,Director,2023-03-08
V-0113,P-0187,V. Menon,Director,2023-12-05
V-0113,P-0188,V. Chauhan,Authorised Signatory,2025-05-23
V-0114,P-0189,G. Desai,Director,2012-07-21
V-0115,P-0190,T. Menon,Director,2026-01-27
V-0115,P-0191,A. Mehta,Director,2021-06-29
V-0115,P-0192,B. Mishra,Authorised Signatory,2025-09-04
V-0116,P-0193,D. Iyer,Director,2019-03-07
V-0117,P-0194,R. Reddy,Director,2020-06-01
V-0118,P-0195,K. Naik,Director,2014-10-31
V-0118,P-0196,H. Naik,Director,2024-11-10
V-0118,P-0197,S. Mehta,Director,2015-04-08
V-0119,P-0198,S. Sharma,Director,2026-07-22
V-0120,P-0199,A. Shetty,Director,2018-10-08
V-0121,P-0200,K. Shetty,Director,2020-11-25
V-0122,P-0201,V. Mishra,Director,2019-09-25
V-0122,P-0202,K. Patil,Partner,2010-06-17
V-0123,P-0203,T. Nair,Director,2021-05-08
V-0123,P-0204,R. Sharma,Authorised Signatory,2025-03-30
V-0124,P-0205,N. Desai,Director,2021-05-03
V-0124,P-0206,V. Bhat,Director,2012-06-15
V-0125,P-0207,R. Kamath,Director,2025-08-11
V-0126,P-0208,V. Menon,Director,2023-07-14
V-0127,P-0209,R. Sharma,Director,2023-04-16
V-0128,P-0210,G. Kulkarni,Director,2021-12-31
V-0128,P-0211,V. Naik,Partner,2026-02-05
V-0129,P-0212,D. Kulkarni,Director,2017-02-02
V-0129,P-0213,K. Rao,Partner,2018-02-06
V-0130,P-0214,B. Mehta,Director,2023-09-17
V-0131,P-0215,G. Kamath,Director,2023-09-12
V-0132,P-0216,R. Desai,Director,2024-01-15
V-0133,P-0217,H. Naik,Director,2017-02-12
V-0134,P-0218,R. Sharma,Director,2022-01-07
V-0135,P-0219,H. Mishra,Director,2009-06-22
V-0135,P-0220,D. Rao,Director,2006-04-13
V-0135,P-0221,V. Kulkarni,Director,2008-02-16
V-0136,P-0222,A. Gowda,Director,2023-05-09
V-0136,P-0223,B. Rao,Director,2025-06-21
V-0137,P-0224,S. Kulkarni,Director,2022-04-13
V-0138,P-0225,T. Desai,Director,2010-05-16
V-0138,P-0226,A. Chauhan,Director,2015-04-05
V-0139,P-0227,B. Bhat,Director,2017-12-06
V-0140,P-0228,T. Mehta,Director,2010-04-13
V-0141,P-0229,K. Sahoo,Director,2010-06-27
V-0142,P-0230,G. Mehta,Director,2012-07-15
V-0142,P-0231,H. Sharma,Partner,2016-03-10
V-0143,P-0232,A. Nair,Director,2009-06-08
V-0144,P-0233,A. Sahoo,Director,2017-04-07
V-0144,P-0234,V. Nair,Authorised Signatory,2011-05-22
V-0145,P-0235,G. Kulkarni,Director,2022-07-23
V-0146,P-0236,A. Menon,Director,2022-06-23
V-0146,P-0237,H. Pillai,Partner,2022-08-05
V-0147,P-0238,M. Reddy,Director,2021-12-22
V-0148,P-0239,N. Mehta,Director,2019-01-05
V-0148,P-0240,R. Menon,Partner,2023-01-25
V-0148,P-0241,G. Kulkarni,Authorised Signatory,2024-05-17
V-0149,P-0242,R. Reddy,Director,2014-05-10
V-0150,P-0243,A. Patil,Director,2026-09-06
V-0150,P-0244,P. Reddy,Director,2018-08-31
V-0151,P-0245,N. Reddy,Director,2024-10-16
V-0151,P-0246,R. Iyer,Director,2017-03-18
V-0152,P-0247,K. Desai,Director,2022-06-10
V-0153,P-0248,A. Gowda,Director,2017-05-22
V-0154,P-0249,T. Pillai,Director,2019-10-07
V-0154,P-0250,R. Chauhan,Authorised Signatory,2021-10-16
V-0155,P-0251,M. Naik,Director,2024-07-16
V-0155,P-0252,V. Patil,Director,2023-09-19
V-0155,P-0253,G. Sharma,Director,2026-01-05
V-0156,P-0254,P. Patil,Director,2025-10-03
V-0156,P-0255,M. Chauhan,Partner,2025-08-03
V-0157,P-0256,G. Patil,Director,2023-09-28
V-0158,P-0257,P. Sharma,Director,2015-06-01
V-0159,P-0258,H. Kulkarni,Director,2026-04-03
V-0159,P-0259,B. Patil,Director,2019-01-01
V-0160,P-0260,T. Gowda,Director,2020-05-25
V-0160,P-0261,B. Sahoo,Partner,2026-04-29
