vendor_id,legal_name,pan,gstin,home_state,categories,incorporation_date,paid_up_capital,annual_turnover,size_tier,address_building_id,address_unit_id,address_unit_share_count,address_building_share_count,phone,email,bank_account,has_website,has_employee_records,registry_status,struck_off_date,msme_registered,startup_registered,is_govt_owned,is_spv,activity_code
V-0001,Charan Roadways & Co,AAFPS9825A,13AAFPS9825A1Z0,KL,ambulance_vehicle,2016-12-18,2377918.06,9906665.64,small,ADDR-BLD-2013,ADDR-BLD-2013-U28,1,1,9108336726,contact@gmail.example,ACCT-899471,0,1,active,,1,0,0,0,ambulance_vehicle
V-0002,Rohan Industries Private Limited,AADPS4883B,30AADPS4883B1Z0,IN,school_uniforms|office_furniture|road_resurfacing,2016-11-15,16901116.52,179415750.14,mid,ADDR-BLD-5425,ADDR-BLD-5425-U38,1,1,9605997515,contact@gmail.example,ACCT-128843,1,1,active,,0,0,0,0,road_resurfacing
V-0003,Harsha Associates LLP,AACPS7730K,11AACPS7730K1Z1,KL,borewell_drilling,2016-09-25,2232254.47,24004661.62,small,ADDR-BLD-8353,ADDR-BLD-8353-U39,1,1,9659304134,contact@v0003.example,ACCT-668115,1,1,active,,0,0,0,0,borewell_drilling
V-0004,Meru Works & Co,AABPS2267B,23AABPS2267B1Z8,KL,sanitation_services,2020-04-29,1961594.12,5718546.74,small,ADDR-BLD-2118,ADDR-BLD-2118-U6,1,1,9124603103,contact@gmail.example,ACCT-642946,0,1,active,,0,0,0,0,sanitation_services
V-0005,Deep Infra Private Limited,AAGPS7903E,28AAGPS7903E1Z2,MH,biomedical_service|borewell_drilling|office_furniture,2016-09-11,151958414.75,1788763180.05,large,ADDR-BLD-9001,ADDR-BLD-9001-U34,1,49,9363501769,contact@v0005.example,ACCT-740404,1,1,active,,0,0,0,0,office_furniture
V-0006,Hansa Works Ltd,AABPS1272K,13AABPS1272K1Z8,MH,borewell_drilling,2013-02-12,142030.89,676988.48,micro,ADDR-BLD-4101,ADDR-BLD-4101-U19,1,1,9008811220,filings@sahaytaconsultants.example,ACCT-249967,1,1,active,,1,0,0,0,borewell_drilling
V-0007,Utkal Associates LLP,AABPS8604B,30AABPS8604B1Z2,OD,school_uniforms|office_furniture,2022-07-06,206259.47,2576901.18,micro,ADDR-BLD-4882,ADDR-BLD-4882-U24,1,1,9755756958,contact@v0007.example,ACCT-802159,0,0,active,,1,1,0,0,school_uniforms
V-0008,Tarang Solutions,AAHPS1014D,36AAHPS1014D1Z9,OD,medical_supplies,2022-08-01,259522.96,2340476.02,micro,ADDR-BLD-6433,ADDR-BLD-6433-U7,1,1,9535686855,contact@gmail.example,ACCT-651262,1,1,active,,1,0,0,0,medical_supplies
V-0009,Dhruva Technologies Private Limited,AAAPS4349E,26AAAPS4349E1Z7,OD,biomedical_service|building_construction,2020-06-03,19317150.76,144712296.22,mid,ADDR-BLD-2414,ADDR-BLD-2414-U4,1,1,9144204864,contact@v0009.example,ACCT-508017,1,1,active,,0,0,0,0,building_construction
V-0010,Kalpa Constructions Ltd,AAEPS1059J,29AAEPS1059J1Z5,KL,biomedical_service,2022-12-13,1993663.38,9404154.42,small,ADDR-BLD-7944,ADDR-BLD-7944-U10,1,1,9543671826,contact@v0010.example,ACCT-432332,0,1,active,,0,1,0,0,biomedical_service
V-0011,Nirmal Agencies Ltd,AACPS4571B,31AACPS4571B1Z3,RJ,drugs_generic,2022-07-02,281023.41,3339689.82,micro,ADDR-BLD-7404,ADDR-BLD-7404-U34,1,1,9919979753,contact@gmail.example,ACCT-648074,0,1,active,,0,0,0,0,drugs_generic
V-0012,Ishan Industries,AAGPS6309D,31AAGPS6309D1Z1,OD,school_uniforms,2012-12-12,2952015.62,29920727.73,mid,ADDR-BLD-2939,ADDR-BLD-2939-U24,1,1,9804213994,contact@v0012.example,ACCT-412861,1,1,active,,0,0,0,0,school_uniforms
V-0013,Dhruva Engineering & Co,AAGPS1846K,27AAGPS1846K1Z6,KA,school_uniforms|road_resurfacing|office_furniture,2005-10-17,793781.74,8543496.75,small,ADDR-BLD-5262,ADDR-BLD-5262-U8,1,1,9326506821,contact@v0013.example,ACCT-522822,0,1,active,,1,0,0,0,office_furniture
V-0014,Pragati Roadways Ltd,AAEPS1923E,14AAEPS1923E1Z4,KL,solar_streetlight|laptops_it,2008-11-29,2493257.22,14010212.25,small,ADDR-BLD-5436,ADDR-BLD-5436-U1,1,1,9713361923,contact@v0014.example,ACCT-824692,0,1,active,,1,0,0,0,laptops_it
V-0015,Kaveri Associates LLP,AAAPS9627C,22AAAPS9627C1Z2,MH,office_furniture|solar_streetlight,2012-04-18,130771.05,1100733.1,micro,ADDR-BLD-2631,ADDR-BLD-2631-U26,1,1,9182363619,contact@gmail.example,ACCT-532649,0,1,active,,1,0,0,0,solar_streetlight
V-0016,Ujjwal Corporation Ltd,AAFPS6910G,17AAFPS6910G1Z0,IN,security_services,2015-03-29,10722796.54,143876547.92,mid,ADDR-BLD-1946,ADDR-BLD-1946-U30,1,1,9748859616,contact@v0016.example,ACCT-347481,1,1,active,,0,0,0,0,security_services
V-0017,Bharat Works Private Limited,AACPS1087K,34AACPS1087K1Z6,RJ,drugs_generic,2009-05-18,1368266.65,11433504.89,small,ADDR-BLD-6963,ADDR-BLD-6963-U7,1,1,9413809933,contact@v0017.example,ACCT-189894,0,1,active,,0,0,0,0,drugs_generic
V-0018,Nirmal Works,AAFPS7903H,37AAFPS7903H1Z0,IN,solar_streetlight|medical_supplies|ambulance_vehicle,2014-10-18,16115869.69,99718298.87,mid,ADDR-BLD-4890,ADDR-BLD-4890-U34,1,1,9515335731,contact@gmail.example,ACCT-163337,0,1,active,,0,0,0,0,medical_supplies
V-0019,Chetak Associates & Co,AAGPS3563E,18AAGPS3563E1Z7,IN,ambulance_vehicle,2008-04-21,15735426.59,57728741.79,mid,ADDR-BLD-3881,ADDR-BLD-3881-U30,1,1,9935394937,contact@v0019.example,ACCT-857861,1,1,active,,0,0,0,0,ambulance_vehicle
V-0020,Lohit Industries LLP,AACPS1692A,27AACPS1692A1Z7,KA,road_resurfacing,2008-07-23,297761.83,857867.14,micro,ADDR-BLD-1655,ADDR-BLD-1655-U27,1,1,9441111454,contact@gmail.example,ACCT-157997,1,1,active,,1,0,0,0,road_resurfacing
V-0021,Gokul Works LLP,AAHPS2333H,21AAHPS2333H1Z2,MH,laptops_it|road_resurfacing|drugs_generic,2022-11-10,411140.93,2341835.39,micro,ADDR-BLD-5921,ADDR-BLD-5921-U21,1,1,9231283992,contact@gmail.example,ACCT-INTERMED-77001,0,0,active,,0,0,0,0,drugs_generic
V-0022,Lohit Services Private Limited,AAEPS8180F,32AAEPS8180F1Z5,MH,drugs_generic|building_construction,2015-07-22,1129289.49,14876407.89,small,ADDR-BLD-8464,ADDR-BLD-8464-U29,1,1,9008811220,contact@v0022.example,ACCT-627801,0,1,active,,0,0,0,0,building_construction
V-0023,Hemant Enterprises Pvt Ltd,AAGPS8264A,23AAGPS8264A1Z9,MH,office_furniture,2011-11-22,1826349.23,9643404.3,small,ADDR-BLD-6250,ADDR-BLD-6250-U24,1,1,9695659126,contact@v0023.example,ACCT-374408,0,1,active,,1,0,0,0,office_furniture
V-0024,Vayu Contractors Ltd,AAAPS1311D,19AAAPS1311D1Z5,MH,school_uniforms,2013-09-01,112355.89,316317.09,micro,ADDR-BLD-8969,ADDR-BLD-8969-U30,1,2,9291234972,contact@v0024.example,ACCT-253690,0,1,active,,1,0,0,0,school_uniforms
V-0025,Trishul Ventures Private Limited,AAEPS1669H,23AAEPS1669H1Z3,OD,office_furniture,2006-01-19,154578.24,995352.46,micro,ADDR-BLD-2823,ADDR-BLD-2823-U22,1,1,9008811220,filings@sahaytaconsultants.example,ACCT-648029,0,0,active,,1,0,0,0,office_furniture
V-0026,Girija Technologies Private Limited,AADPS9034K,37AADPS9034K1Z4,KL,medical_supplies|solar_streetlight|borewell_drilling,2005-11-20,822227.94,4276652.61,small,ADDR-BLD-5507,ADDR-BLD-5507-U5,1,1,9941271861,contact@v0026.example,ACCT-547635,0,1,active,,1,0,0,0,medical_supplies
V-0027,Omkar Public Sector Corporation Ltd,AAAPS2176E,22AAAPS2176E1Z5,RJ,building_construction,2019-08-23,6855647.21,55972772.03,mid,ADDR-BLD-2497,ADDR-BLD-2497-U27,1,1,9940999781,contact@v0027.example,ACCT-829534,1,1,active,,0,0,1,0,building_construction
V-0028,Tarang Projects,AAEPS2699H,10AAEPS2699H1Z0,KL,drugs_generic,2011-01-26,1823291.64,11958924.61,small,ADDR-BLD-4392,ADDR-BLD-4392-U8,1,1,9627871662,contact@v0028.example,ACCT-622611,1,1,active,,0,0,0,0,drugs_generic
V-0029,Arka Solutions Ltd,AAAPS2051K,37AAAPS2051K1Z9,KL,solar_streetlight|building_construction,2014-09-25,241360109.66,2192104255.75,large,ADDR-BLD-7017,ADDR-BLD-7017-U16,3,3,9545361922,contact@v0029.example,ACCT-593879,1,1,active,,0,0,0,0,building_construction
